DATE,TIME,OPEN,HIGH,LOW,CLOSE,CHANGE,GAIN,LOSS,AVG+AF8-GAIN,AVG+AF8-LOSS,RS,RSI+AF8-14
20200102,09:51:00,1467.35,1467.975,1466.525,1467.025,+AC0-0.32,0.00,0.32,0.86,0.43,2.01,66.73
20200102,09:52:00,1467.025,1467.8,1467.025,1467.475,0.45,0.45,0.00,0.83,0.40,2.09,67.60
20200102,09:53:00,1467.475,1467.725,1466.925,1467.7,0.23,0.23,0.00,0.79,0.37,2.13,68.05
20200102,09:54:00,1467.7,1471.35,1467.65,1470.3,2.60,2.60,0.00,0.92,0.34,2.67,72.75
20200102,09:55:00,1470.3,1470.575,1469.75,1470.425,0.13,0.13,0.00,0.86,0.32,2.70,72.96
20200102,09:56:00,1470.425,1471.525,1470.3,1471.125,0.70,0.70,0.00,0.85,0.30,2.87,74.14
20200102,09:57:00,1471.125,1471.25,1470.775,1470.775,+AC0-0.35,0.00,0.35,0.79,0.30,2.63,72.44
20200102,09:58:00,1470.775,1472.7,1470.775,1471.425,0.65,0.65,0.00,0.78,0.28,2.79,73.65
20200102,09:59:00,1471.425,1471.525,1470.875,1471.525,0.10,0.10,0.00,0.73,0.26,2.82,73.84
20200102,10:00:00,1471.525,1473.975,1471.25,1473.35,1.82,1.82,0.00,0.81,0.24,3.37,77.09
20200102,10:01:00,1473.35,1473.9,1472.675,1473.325,+AC0-0.02,0.00,0.02,0.75,0.22,3.34,76.95
20200102,10:02:00,1473.325,1473.675,1472.95,1473.05,+AC0-0.28,0.00,0.28,0.70,0.23,3.05,75.32
20200102,10:03:00,1473.05,1473.325,1472.225,1472.7,+AC0-0.35,0.00,0.35,0.65,0.24,2.73,73.19
20200102,10:04:00,1472.7,1473.875,1472.7,1473.425,0.72,0.72,0.00,0.65,0.22,2.96,74.78
20200102,10:05:00,1473.425,1474.55,1472.65,1474.55,1.13,1.13,0.00,0.69,0.20,3.36,77.05
20200102,10:06:00,1474.55,1474.875,1473.95,1474.675,0.13,0.13,0.00,0.65,0.19,3.40,77.30
20200102,10:07:00,1474.675,1474.875,1472.35,1472.375,+AC0-2.30,0.00,2.30,0.60,0.34,1.76,63.80
20200102,10:08:00,1472.375,1474.275,1472.375,1472.775,0.40,0.40,0.00,0.59,0.32,1.85,64.95
20200102,10:09:00,1472.775,1474.325,1472.65,1473.2,0.42,0.42,0.00,0.57,0.29,1.96,66.17
20200102,10:10:00,1473.2,1474.325,1473.2,1473.775,0.58,0.58,0.00,0.57,0.27,2.11,67.81
20200102,10:11:00,1473.775,1476.75,1473.525,1476.675,2.90,2.90,0.00,0.74,0.25,2.92,74.52
20200102,10:12:00,1476.675,1477.45,1476.15,1476.55,+AC0-0.13,0.00,0.13,0.69,0.24,2.82,73.81
20200102,10:13:00,1476.55,1476.775,1474.65,1474.975,+AC0-1.58,0.00,1.58,0.64,0.34,1.88,65.31
20200102,10:14:00,1474.975,1476.025,1474.975,1475.85,0.88,0.88,0.00,0.66,0.31,2.08,67.55
20200102,10:15:00,1475.85,1477.825,1475.85,1477.725,1.88,1.88,0.00,0.74,0.29,2.54,71.75
20200102,10:16:00,1477.725,1477.975,1476.85,1476.975,+AC0-0.75,0.00,0.75,0.69,0.33,2.12,67.96
20200102,10:17:00,1476.975,1477.025,1475.75,1476.375,+AC0-0.60,0.00,0.60,0.64,0.34,1.86,65.00
20200102,10:18:00,1476.375,1476.975,1475.8,1476.375,0.00,0.00,0.00,0.59,0.32,1.86,65.00
20200102,10:19:00,1476.375,1477.425,1476.225,1477.4,1.03,1.03,0.00,0.63,0.30,2.10,67.78
