DATE,TIME,OPEN,HIGH,LOW,CLOSE
20200102,09:15:00,1442.95,1446.275,1442.05,1446.275
20200102,09:16:00,1446.275,1447.325,1446.275,1447.225
20200102,09:17:00,1447.225,1450.15,1447.225,1449.275
20200102,09:18:00,1449.275,1449.375,1447.4,1448.6
20200102,09:19:00,1448.6,1451.475,1448.4,1451.4
20200102,09:20:00,1451.4,1452.825,1450.675,1452.375
20200102,09:21:00,1452.375,1453.3,1451.175,1451.175
20200102,09:22:00,1451.175,1452.75,1451.075,1452.75
20200102,09:23:00,1452.75,1453.7,1452.75,1453.125
20200102,09:24:00,1453.125,1453.25,1451.2,1451.2
20200102,09:25:00,1451.2,1452.45,1451.2,1452.45
20200102,09:26:00,1452.45,1453.925,1452.45,1453.525
20200102,09:27:00,1453.525,1453.525,1451.275,1451.675
20200102,09:28:00,1451.675,1452.725,1451.575,1452.625
20200102,09:29:00,1452.625,1453.15,1452.225,1452.25
20200102,09:30:00,1452.25,1455.475,1452.225,1455.475
20200102,09:31:00,1455.475,1455.55,1454.275,1455.25
20200102,09:32:00,1455.25,1455.25,1454.3,1454.775
20200102,09:33:00,1454.775,1455.35,1454.725,1455.15
20200102,09:34:00,1455.15,1455.675,1454.9,1455.675
20200102,09:35:00,1455.675,1458.2,1455.4,1458.2
20200102,09:36:00,1458.2,1462.3,1458.175,1461.325
20200102,09:37:00,1461.325,1461.4,1459.425,1460.025
20200102,09:38:00,1460.025,1465.85,1459.95,1464.575
20200102,09:39:00,1464.575,1464.825,1461.475,1462.825
20200102,09:40:00,1462.825,1464.35,1462.25,1462.75
20200102,09:41:00,1462.75,1464.4,1462.375,1463.625
20200102,09:42:00,1463.625,1464.95,1463.625,1464.95
20200102,09:43:00,1464.95,1466.625,1464.95,1466.375
20200102,09:44:00,1466.375,1468.95,1466.275,1468.75
20200102,09:45:00,1468.75,1468.775,1466.875,1468.175
20200102,09:46:00,1468.175,1469.975,1467.1,1468.475
20200102,09:47:00,1468.475,1469.925,1468.35,1469.7
20200102,09:48:00,1469.7,1469.85,1467.95,1469.225
20200102,09:49:00,1469.225,1469.625,1466.475,1466.475
20200102,09:50:00,1466.475,1467.725,1464.4,1467.35
20200102,09:51:00,1467.35,1467.975,1466.525,1467.025
20200102,09:52:00,1467.025,1467.8,1467.025,1467.475
20200102,09:53:00,1467.475,1467.725,1466.925,1467.7
20200102,09:54:00,1467.7,1471.35,1467.65,1470.3
20200102,09:55:00,1470.3,1470.575,1469.75,1470.425
20200102,09:56:00,1470.425,1471.525,1470.3,1471.125
20200102,09:57:00,1471.125,1471.25,1470.775,1470.775
20200102,09:58:00,1470.775,1472.7,1470.775,1471.425
20200102,09:59:00,1471.425,1471.525,1470.875,1471.525
20200102,10:00:00,1471.525,1473.975,1471.25,1473.35
20200102,10:01:00,1473.35,1473.9,1472.675,1473.325
20200102,10:02:00,1473.325,1473.675,1472.95,1473.05
20200102,10:03:00,1473.05,1473.325,1472.225,1472.7
20200102,10:04:00,1472.7,1473.875,1472.7,1473.425
20200102,10:05:00,1473.425,1474.55,1472.65,1474.55
20200102,10:06:00,1474.55,1474.875,1473.95,1474.675
20200102,10:07:00,1474.675,1474.875,1472.35,1472.375
20200102,10:08:00,1472.375,1474.275,1472.375,1472.775
20200102,10:09:00,1472.775,1474.325,1472.65,1473.2
20200102,10:10:00,1473.2,1474.325,1473.2,1473.775
20200102,10:11:00,1473.775,1476.75,1473.525,1476.675
20200102,10:12:00,1476.675,1477.45,1476.15,1476.55
20200102,10:13:00,1476.55,1476.775,1474.65,1474.975
20200102,10:14:00,1474.975,1476.025,1474.975,1475.85
20200102,10:15:00,1475.85,1477.825,1475.85,1477.725
20200102,10:16:00,1477.725,1477.975,1476.85,1476.975
20200102,10:17:00,1476.975,1477.025,1475.75,1476.375
20200102,10:18:00,1476.375,1476.975,1475.8,1476.375
20200102,10:19:00,1476.375,1477.425,1476.225,1477.4
20200102,10:20:00,1477.4,1478.775,1476.925,1478.7
20200102,10:21:00,1478.7,1479.825,1478.4,1478.925
20200102,10:22:00,1478.925,1480.75,1478.3,1480.5
20200102,10:23:00,1480.5,1480.775,1479.575,1480.45
20200102,10:24:00,1480.45,1482.85,1480.225,1482.275
20200102,10:25:00,1482.275,1482.95,1481.325,1481.575
20200102,10:26:00,1481.575,1481.575,1480.775,1480.775
20200102,10:27:00,1480.775,1481.225,1480.275,1481.225
20200102,10:28:00,1481.225,1481.9,1480.375,1481.75
20200102,10:29:00,1481.75,1483.25,1481.7,1482.85
20200102,10:30:00,1482.85,1484.225,1482.6,1483.525
20200102,10:31:00,1483.525,1483.725,1483.2,1483.2
20200102,10:32:00,1483.2,1483.85,1482.775,1483.25
20200102,10:33:00,1483.25,1486.55,1483.25,1486.4
20200102,10:34:00,1486.4,1487.2,1486.175,1486.575
20200102,10:35:00,1486.575,1486.575,1483.65,1484.3
20200102,10:36:00,1484.3,1484.625,1483.4,1483.4
20200102,10:37:00,1483.4,1483.85,1483.15,1483.825
20200102,10:38:00,1483.825,1485.075,1483.7,1485.075
20200102,10:39:00,1485.075,1488.575,1485.075,1487.975
20200102,10:40:00,1487.975,1489.25,1487.375,1487.375
20200102,10:41:00,1487.375,1489.375,1487.275,1488.7
20200102,10:42:00,1488.7,1488.9,1487.25,1487.25
