DATE,TIME,OPEN,HIGH,LOW,CLOSE,SMA_5,WMA_5
20200102,09:15:00,1442.95,1446.275,1442.05,1446.275,,
20200102,09:16:00,1446.275,1447.325,1446.275,1447.225,,
20200102,09:17:00,1447.225,1450.15,1447.225,1449.275,,
20200102,09:18:00,1449.275,1449.375,1447.4,1448.6,,
20200102,09:19:00,1448.6,1451.475,1448.4,1451.4,1448.5549999999998,1449.3300000000002
20200102,09:20:00,1451.4,1452.825,1450.675,1452.375,1449.775,1450.6033333333332
20200102,09:21:00,1452.375,1453.3,1451.175,1451.175,1450.5649999999998,1451.0700000000002
20200102,09:22:00,1451.175,1452.75,1451.075,1452.75,1451.2599999999998,1451.7983333333332
20200102,09:23:00,1452.75,1453.7,1452.75,1453.125,1452.1649999999997,1452.4199999999998
20200102,09:24:00,1453.125,1453.25,1451.2,1451.2,1452.125,1452.0983333333331
20200102,09:25:00,1451.2,1452.45,1451.2,1452.45,1452.14,1452.2066666666665
20200102,09:26:00,1452.45,1453.925,1452.45,1453.525,1452.6100000000001,1452.6683333333335
20200102,09:27:00,1453.525,1453.525,1451.275,1451.675,1452.395,1452.3566666666666
20200102,09:28:00,1451.675,1452.725,1451.575,1452.625,1452.295,1452.4333333333334
20200102,09:29:00,1452.625,1453.15,1452.225,1452.25,1452.505,1452.4183333333335
20200102,09:30:00,1452.25,1455.475,1452.225,1455.475,1453.1100000000001,1453.4083333333333
20200102,09:31:00,1455.475,1455.55,1454.275,1455.25,1453.455,1454.1216666666664
20200102,09:32:00,1455.25,1455.25,1454.3,1454.775,1454.0749999999998,1454.5616666666667
20200102,09:33:00,1454.775,1455.35,1454.725,1455.15,1454.58,1454.9200000000003
20200102,09:34:00,1455.15,1455.675,1454.9,1455.675,1455.2649999999999,1455.285
20200102,09:35:00,1455.675,1458.2,1455.4,1458.2,1455.81,1456.2633333333333
20200102,09:36:00,1458.2,1462.3,1458.175,1461.325,1457.025,1458.1016666666667
20200102,09:37:00,1461.325,1461.4,1459.425,1460.025,1458.075,1459.1016666666667
20200102,09:38:00,1460.025,1465.85,1459.95,1464.575,1459.9600000000003,1461.2683333333334
20200102,09:39:00,1464.575,1464.825,1461.475,1462.825,1461.3900000000003,1462.2233333333336
20200102,09:40:00,1462.825,1464.35,1462.25,1462.75,1462.3000000000002,1462.6766666666667
20200102,09:41:00,1462.75,1464.4,1462.375,1463.625,1462.76,1463.1183333333333
20200102,09:42:00,1463.625,1464.95,1463.625,1464.95,1463.7450000000001,1463.8483333333331
20200102,09:43:00,1464.95,1466.625,1464.95,1466.375,1464.105,1464.725
20200102,09:44:00,1466.375,1468.95,1466.275,1468.75,1465.2900000000004,1466.2733333333333
20200102,09:45:00,1468.75,1468.775,1466.875,1468.175,1466.3750000000005,1467.2350000000001
20200102,09:46:00,1468.175,1469.975,1467.1,1468.475,1467.3450000000005,1467.9350000000002
20200102,09:47:00,1468.475,1469.925,1468.35,1469.7,1468.2950000000005,1468.72
20200102,09:48:00,1469.7,1469.85,1467.95,1469.225,1468.8650000000005,1469.03
20200102,09:49:00,1469.225,1469.625,1466.475,1466.475,1468.4100000000005,1468.2333333333333
20200102,09:50:00,1466.475,1467.725,1464.4,1467.35,1468.2450000000006,1467.8799999999999
20200102,09:51:00,1467.35,1467.975,1466.525,1467.025,1467.9550000000006,1467.4733333333331
20200102,09:52:00,1467.025,1467.8,1467.025,1467.475,1467.5100000000007,1467.313333333333
20200102,09:53:00,1467.475,1467.725,1466.925,1467.7,1467.2050000000006,1467.3766666666668
20200102,09:54:00,1467.7,1471.35,1467.65,1470.3,1467.9700000000005,1468.4083333333333
20200102,09:55:00,1470.3,1470.575,1469.75,1470.425,1468.5850000000003,1469.2266666666667
20200102,09:56:00,1470.425,1471.525,1470.3,1471.125,1469.4050000000002,1470.0733333333333
20200102,09:57:00,1471.125,1471.25,1470.775,1470.775,1470.065,1470.53
20200102,09:58:00,1470.775,1472.7,1470.775,1471.425,1470.81,1470.9833333333333
20200102,09:59:00,1471.425,1471.525,1470.875,1471.525,1471.055,1471.2216666666668
20200102,10:00:00,1471.525,1473.975,1471.25,1473.35,1471.6399999999999,1471.986666666667
20200102,10:01:00,1473.35,1473.9,1472.675,1473.325,1472.08,1472.5483333333332
20200102,10:02:00,1473.325,1473.675,1472.95,1473.05,1472.5349999999999,1472.8716666666667
20200102,10:03:00,1473.05,1473.325,1472.225,1472.7,1472.79,1472.9266666666667
20200102,10:04:00,1472.7,1473.875,1472.7,1473.425,1473.17,1473.1383333333333
20200102,10:05:00,1473.425,1474.55,1472.65,1474.55,1473.4099999999999,1473.5983333333336
20200102,10:06:00,1474.55,1474.875,1473.95,1474.675,1473.6799999999998,1474.02
20200102,10:07:00,1474.675,1474.875,1472.35,1472.375,1473.5449999999996,1473.585
20200102,10:08:00,1472.375,1474.275,1472.375,1472.775,1473.5599999999997,1473.3283333333334
20200102,10:09:00,1472.775,1474.325,1472.65,1473.2,1473.5149999999996,1473.2083333333333
20200102,10:10:00,1473.2,1474.325,1473.2,1473.775,1473.3599999999997,1473.2949999999998
20200102,10:11:00,1473.775,1476.75,1473.525,1476.675,1473.7599999999998,1474.4
20200102,10:12:00,1476.675,1477.45,1476.15,1476.55,1474.5949999999998,1475.3300000000002
